problem,model,prompt_type,pass_rate,avg_error_count,avg_structural_errors,avg_logical_errors,avg_attribute_errors,avg_structural_passed,avg_logical_passed,avg_attribute_passed,run_count
DirectedSocialNetwork,Claude35Haiku,directprompt,0.0,1.0,0.0,0.0,1.0,3.0,2.0,3.0,5
DirectedSocialNetwork,Claude35Haiku,iterativefeedback,0.0,1.0,0.0,0.0,1.0,3.0,2.0,3.0,5
DirectedSocialNetwork,Claude35Haiku,programaugmented,0.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,5
DirectedSocialNetwork,Claude35Sonnet,directprompt,100.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5
DirectedSocialNetwork,Claude35Sonnet,iterativefeedback,100.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5
DirectedSocialNetwork,Claude35Sonnet,programaugmented,60.0,0.4,0.0,0.0,0.4,3.0,2.0,3.6,5
DirectedSocialNetwork,Claude37Sonnet,directprompt,100.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5
DirectedSocialNetwork,Claude37Sonnet,iterativefeedback,100.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5
DirectedSocialNetwork,Claude37Sonnet,programaugmented,100.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5
DirectedSocialNetwork,DeepSeekR1,directprompt,20.0,3.6,0.8,2.0,0.8,2.2,1.4,3.2,5
DirectedSocialNetwork,DeepSeekR1,iterativefeedback,40.0,1.8,0.2,1.0,0.6,2.8,1.6,3.4,5
DirectedSocialNetwork,DeepSeekR1,programaugmented,0.0,7.0,1.0,5.0,1.0,2.0,0.8,3.0,5
DirectedSocialNetwork,DeepSeekV3,directprompt,0.0,1.8,0.4,0.4,1.0,2.6,1.6,3.0,5
DirectedSocialNetwork,DeepSeekV3,iterativefeedback,0.0,1.4,0.4,0.0,1.0,2.6,2.0,3.0,5
DirectedSocialNetwork,DeepSeekV3,programaugmented,0.0,5.8,0.6,4.2,1.0,2.4,0.6,3.0,5
DirectedSocialNetwork,GPT4o,directprompt,0.0,6.6,0.6,5.0,1.0,2.4,0.6,3.0,5
DirectedSocialNetwork,GPT4o,iterativefeedback,0.0,1.6,0.2,0.4,1.0,2.8,1.6,3.0,5
DirectedSocialNetwork,GPT4o,programaugmented,0.0,4.8,0.4,3.4,1.0,2.6,0.8,3.0,5
DirectedSocialNetwork,GPT4omini,directprompt,0.0,7.8,0.4,6.4,1.0,2.6,0.8,3.0,5
DirectedSocialNetwork,GPT4omini,iterativefeedback,0.0,5.8,0.6,4.2,1.0,2.4,0.8,3.0,5
DirectedSocialNetwork,GPT4omini,programaugmented,0.0,1.8,0.2,0.6,1.0,2.8,1.8,3.0,5
DirectedSocialNetwork,Gemini20Flash,directprompt,0.0,2.2,0.0,1.4,0.8,3.0,1.2,3.2,5
DirectedSocialNetwork,Gemini20Flash,iterativefeedback,40.0,0.6,0.0,0.0,0.6,3.0,2.0,3.4,5
DirectedSocialNetwork,Gemini20Flash,programaugmented,20.0,2.4,0.0,2.2,0.2,3.0,1.2,3.8,5
DirectedSocialNetwork,Gemini20Pro,directprompt,0.0,1.0,0.0,0.0,1.0,3.0,2.0,3.0,5
DirectedSocialNetwork,Gemini20Pro,iterativefeedback,20.0,0.8,0.0,0.0,0.8,3.0,2.0,3.2,5
DirectedSocialNetwork,Gemini20Pro,programaugmented,0.0,1.0,0.0,0.0,1.0,3.0,2.0,3.0,5
DirectedSocialNetwork,GrokV3,directprompt,20.0,1.0,0.0,0.0,1.0,3.0,2.0,3.2,5
DirectedSocialNetwork,GrokV3,iterativefeedback,100.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5
DirectedSocialNetwork,GrokV3,programaugmented,100.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5
DirectedSocialNetwork,Llama31405B,directprompt,0.0,1.4,0.2,0.2,1.0,2.8,1.8,3.0,5
DirectedSocialNetwork,Llama31405B,iterativefeedback,0.0,1.4,0.0,0.4,1.0,3.0,1.8,3.0,5
DirectedSocialNetwork,Llama31405B,programaugmented,0.0,2.2,0.0,1.2,1.0,3.0,1.0,3.0,5
DirectedSocialNetwork,Llama318B,directprompt,0.0,9.2,0.0,8.2,1.0,3.0,0.2,3.0,5
DirectedSocialNetwork,Llama318B,iterativefeedback,0.0,10.8,0.2,9.8,0.8,2.8,0.6,3.2,5
DirectedSocialNetwork,Llama318B,programaugmented,0.0,8.8,0.0,7.2,1.6,3.0,0.2,2.4,5
DirectedSocialNetwork,Llama32,directprompt,0.0,8.0,0.0,7.0,1.0,3.0,0.2,3.0,5
DirectedSocialNetwork,Llama32,iterativefeedback,0.0,9.6,0.0,8.4,1.2,3.0,0.2,2.8,5
DirectedSocialNetwork,Llama32,programaugmented,0.0,7.2,0.2,4.4,2.6,2.8,0.6,2.0,5
DirectedSocialNetwork,o1,directprompt,100.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5
DirectedSocialNetwork,o1,iterativefeedback,100.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5
DirectedSocialNetwork,o1,programaugmented,100.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5
DirectedSocialNetwork,o3mini,directprompt,100.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5
DirectedSocialNetwork,o3mini,iterativefeedback,100.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5
DirectedSocialNetwork,o3mini,programaugmented,60.0,0.4,0.0,0.0,0.4,3.0,2.0,3.6,5
GeneDiseaseAssociation,Claude35Haiku,directprompt,20.0,5.2,5.2,0.0,0.0,2.2,1.0,1.0,5
GeneDiseaseAssociation,Claude35Haiku,iterativefeedback,80.0,1.2,1.2,0.0,0.0,2.8,1.0,1.0,5
GeneDiseaseAssociation,Claude35Haiku,programaugmented,0.0,15.2,15.2,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,Claude35Sonnet,directprompt,0.0,10.6,10.6,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,Claude35Sonnet,iterativefeedback,0.0,5.0,5.0,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,Claude35Sonnet,programaugmented,0.0,8.2,8.2,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,Claude37Sonnet,directprompt,80.0,0.4,0.4,0.0,0.0,2.8,1.0,1.0,5
GeneDiseaseAssociation,Claude37Sonnet,iterativefeedback,80.0,1.0,1.0,0.0,0.0,2.8,1.0,1.0,5
GeneDiseaseAssociation,Claude37Sonnet,programaugmented,60.0,0.6,0.6,0.0,0.0,2.6,1.0,1.0,5
GeneDiseaseAssociation,DeepSeekR1,directprompt,40.0,2.6,2.6,0.0,0.0,2.4,1.0,1.0,5
GeneDiseaseAssociation,DeepSeekR1,iterativefeedback,40.0,2.4,2.4,0.0,0.0,2.4,1.0,1.0,5
GeneDiseaseAssociation,DeepSeekR1,programaugmented,40.0,6.0,6.0,0.0,0.0,2.4,1.0,1.0,5
GeneDiseaseAssociation,DeepSeekV3,directprompt,0.0,14.4,14.4,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,DeepSeekV3,iterativefeedback,0.0,6.2,6.2,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,DeepSeekV3,programaugmented,0.0,7.8,7.8,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,GPT4o,directprompt,0.0,26.4,26.4,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,GPT4o,iterativefeedback,0.0,16.6,16.6,0.0,0.0,1.8,1.0,1.0,5
GeneDiseaseAssociation,GPT4o,programaugmented,20.0,1.6,1.6,0.0,0.0,2.2,1.0,1.0,5
GeneDiseaseAssociation,GPT4omini,directprompt,0.0,13.0,13.0,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,GPT4omini,iterativefeedback,0.0,9.4,9.4,0.0,0.0,1.6,1.0,1.0,5
GeneDiseaseAssociation,GPT4omini,programaugmented,0.0,20.0,20.0,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,Gemini20Flash,directprompt,0.0,18.2,18.2,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,Gemini20Flash,iterativefeedback,0.0,23.2,23.2,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,Gemini20Flash,programaugmented,0.0,20.8,20.8,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,Gemini20Pro,directprompt,0.0,4.2,4.2,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,Gemini20Pro,iterativefeedback,60.0,1.2,1.2,0.0,0.0,2.6,1.0,1.0,5
GeneDiseaseAssociation,Gemini20Pro,programaugmented,0.0,5.4,5.4,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,GrokV3,directprompt,0.0,11.2,11.2,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,GrokV3,iterativefeedback,40.0,2.8,2.8,0.0,0.0,2.4,1.0,1.0,5
GeneDiseaseAssociation,GrokV3,programaugmented,0.0,12.2,12.2,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,Llama31405B,directprompt,0.0,3.6,3.6,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,Llama31405B,iterativefeedback,0.0,4.4,4.4,0.0,0.0,1.8,1.0,1.0,5
GeneDiseaseAssociation,Llama31405B,programaugmented,0.0,10.6,10.6,0.0,0.0,2.0,1.0,1.0,5
GeneDiseaseAssociation,Llama318B,directprompt,0.0,35.4,34.4,0.8,0.2,2.0,0.6,0.8,5
